Æ÷{+/%&C!&µ%í­++%&C)*¥•B©+k%&C«Ól%í©+h%'CS•ë%m«Qì%'S¯•oeì¯+«%&Sb&­%­©+è%'S­‘(d­©+î%'¦„–…ÄC©+m%&eì¨+)%&†C‘î%í¯Q«$'C½•©eí¨+-%&C¨•«åíª+/%&C!&µ%í­++%&C)*¥•B©+k%&C«Ól%í©+h%'CS•ë%m«Qì%'S¯•oeì¯+«%&Sb&­%­©+è%'S­‘(d­©+î%'¦„–…ÄC©+m%&list size: 4
Calibration result:
Anchors found: 4
ANCHOR,0x6E49,1604,963,1900
ANCHOR,0x695F,539,4778,650
ANCHOR,0x696C,2054,-1132,1900
ANCHOR,0x6E02,3182,1316,1400
Starting positioning: 
2288,2365,1472,1010,0
2300,2281,1455,1012,0
2314,2317,1452,967,0
2327,2342,1443,1049,0
2340,2312,1430,1008,0
2355,2299,1459,1023,0
2368,2341,1478,1021,0
2379,2304,1439,1013,0
2392,2312,1457,1008,0
2405,2343,1467,1034,0
2418,2327,1456,1032,0
2431,2326,1452,998,0
2443,ERROR,0xA,,1
2456,3172,635,1960,0
2469,3145,609,1755,0
2483,3142,643,1779,0
2494,ERROR,0xA,,1
2507,3113,664,1817,0
2523,3169,622,1689,0
2536,3133,650,1779,0
2549,3167,562,1716,0
2564,3086,693,1725,0
2577,3094,678,1929,0
2590,3141,629,1698,0
2604,3127,650,1717,0
2617,3114,647,1846,0
2630,3093,680,1726,0
2643,3154,626,1625,0
2656,3098,648,1771,0
2670,3131,621,1797,0
2683,3105,693,1850,0
2696,3107,659,1819,0
2711,3102,683,1964,0
2725,3085,674,1690,0
2738,3100,642,1735,0
2752,3090,643,1794,0
2765,3132,606,1774,0
2778,3104,686,1867,0
2791,3094,639,1665,0
2804,3137,632,1847,0
2817,3077,660,1674,0
2830,3090,654,1789,0
2842,ERROR,0xA,,1
2855,3103,625,1786,0
2868,3098,655,1721,0
2882,3091,658,1902,0
2895,3063,639,1765,0
2908,3125,645,1794,0
2921,3098,655,1721,0
2932,ERROR,0xA,,1
2944,ERROR,0xA,,1
2957,3087,672,1749,0
2971,3048,651,1634,0
2984,3091,647,1741,0
2997,3076,643,1792,0
3010,3102,607,1801,0
3024,3094,639,1665,0
3037,3117,621,1824,0
3050,3078,653,1778,0
3063,3085,641,1711,0
3076,3078,623,1694,0
3089,3118,643,1721,0
3102,3098,622,1696,0
3115,3124,621,1760,0
3128,3118,610,1698,0
3141,3079,641,1804,0
3154,3057,652,1766,0
3167,3074,688,1839,0
3181,3079,657,1678,0
3194,3137,607,1698,0
3207,3111,611,1718,0
3220,3051,643,1731,0
3233,3091,629,1757,0
3246,3080,619,1597,0
3257,ERROR,0xA,,1
3270,3085,661,1747,0
3283,3093,657,1742,0
3296,ERROR,0xA,,1
3309,3076,659,1700,0
3322,3073,631,1704,0
3335,3082,630,1709,0
3346,ERROR,0xA,,1
3359,3081,630,1774,0
3372,3138,653,1724,0
3385,3104,633,1784,0
3398,3027,692,1730,0
3411,3097,658,1844,0
3424,3103,653,1697,0
3439,3103,616,1727,0
3453,3054,657,1620,0
3466,3047,635,1564,0
3479,3054,667,1640,0
3492,3062,663,1596,0
